fid,id,LDEN,st_area_sh,st_length_,Long,Lat
53,65033,50,100.07278722,40.0145547965,3.85666,43.65821
54,65586,50,100.07226807,40.0144510042,3.89025,43.65766
55,65617,50,100.07175653,40.0143487324,3.90066,43.65752
56,70101,52,100.07174895,40.014347218,3.91613,43.65649
57,71250,63,100.07169605,40.0143366408,3.98195,43.65538
58,72182,51,100.07171114,40.0143396577,3.96434,43.65545
59,74016,53,100.07177929,40.0143532838,3.88054,43.65626
60,74113,51,100.072252905,40.0144479723,3.9114,43.65584
61,74249,50,100.07170359,40.0143381492,3.96346,43.6551
62,74300,53,100.071199655,40.0142373978,3.97722,43.65491
63,75256,50,100.07170359,40.0143381492,3.96606,43.65489
64,75445,51,100.07178689,40.0143548022,3.8612,43.65625
