fid,id,LDEN,st_area_sh,st_length_,Long,Lat
165,174218,50,100.0753147,40.0150601075,3.82178,43.63697
166,174435,53,100.07527668,40.0150525044,3.88275,43.63616
167,178147,59,100.07581107,40.0151593424,3.83205,43.63612
168,178444,72,100.074238435,40.014844933,3.92337,43.63488
169,179984,61,100.07581107,40.0151593424,3.83229,43.63575
170,182044,56,100.07377996,40.0147532723,3.87305,43.63485
171,182448,54,200.15060276,60.0226374949,3.84355,43.6352
172,184078,57,100.07527668,40.0150525044,3.87936,43.6344
173,184583,55,100.07527668,40.0150525044,3.87973,43.63431
174,185081,56,100.07578065,40.0151532607,3.8796,43.63422
175,185669,57,100.075253925,40.0150479551,3.90872,43.63373
176,186128,53,100.07475754,40.0149487162,3.89397,43.63384
177,186228,80,100.075238775,40.0150449282,3.92011,43.63348
178,187700,63,1601.20044416,300.112293403,3.91642,43.63338
179,188162,53,100.07575031,40.015147195,3.90424,43.63334
180,188240,62,100.07573517,40.0151441682,3.92419,43.63306
181,190120,59,100.07474239,40.0149456873,3.92864,43.63264
182,190966,53,100.07525392,40.0150479561,3.90026,43.63286
183,194034,54,100.07581107,40.0151593424,3.83706,43.63308
184,196334,51,200.151629755,60.0227412983,3.82453,43.63284
185,197156,75,100.07575031,40.015147195,3.91337,43.6315
186,200030,53,100.075788245,40.0151547802,3.85846,43.63162
187,200084,50,100.07578065,40.0151532607,3.87259,43.63143
188,202149,60,100.07579585,40.0151562996,3.85449,43.63123
189,202712,65,100.076254275,40.0152479494,3.89723,43.63056
190,203158,61,100.07575031,40.015147195,3.91916,43.63016
191,203826,52,100.07577306,40.0151517423,3.88161,43.6305
192,203862,54,200.151023185,60.0226238253,3.89332,43.63034
193,204300,56,100.07575789,40.0151487095,3.90911,43.63003
194,205651,56,200.151042135,60.0226253427,3.886,43.62999
195,205888,55,100.0767962,40.0153562938,3.85174,43.63036
196,206435,73,200.152008375,60.0227215495,3.90693,43.62952
197,207748,50,100.07528427,40.0150540238,3.87105,43.62965
198,207991,53,100.07582631,40.0151623893,3.82186,43.63022
199,210065,57,100.07626185,40.0152494658,3.89731,43.62876
200,210235,52,100.075818685,40.0151608658,3.82668,43.62962
201,210905,75,100.075261505,40.0150494705,3.90573,43.62846
202,212000,56,500.38091914,120.045664334,3.86786,43.62883
203,212202,56,100.07585685,40.015168495,3.77426,43.62984
204,212406,54,100.07578065,40.0151532607,3.86384,43.62867
205,213270,55,600.456214815,140.053238686,3.86526,43.62856
206,217066,61,100.07629222,40.0152555375,3.85861,43.62766
207,217246,55,100.07575788,40.0151487115,3.90482,43.62703
208,219125,77,100.07575789,40.0151487095,3.89886,43.62666
209,221245,55,100.076315055,40.0152601007,3.82142,43.62716
210,222393,53,100.07573517,40.0151441682,3.93291,43.62547
211,224897,53,100.076254275,40.0152479494,3.90391,43.62533
212,225629,50,100.07626944,40.0152509812,3.88012,43.62548
213,226095,57,100.076254275,40.0152479494,3.90242,43.62508
214,226228,54,200.15313409,60.0229397698,3.82455,43.62604
215,227704,68,100.07684956,40.0153669617,3.78458,43.6262
216,229190,50,100.0767886,40.0153547744,3.86746,43.62484
217,232357,50,100.07735356,40.015467722,3.78283,43.62523
218,233867,56,100.077284975,40.0154540123,3.86768,43.62385
219,234957,50,100.076231565,40.0152434091,3.9321,43.62278
220,236263,53,100.07576547,40.0151502259,3.89369,43.62304
221,236316,50,100.076254275,40.0152479494,3.90992,43.62282
222,236981,50,200.1535924,60.023135198,3.85516,43.62343
223,237282,54,900.6918601,180.069323103,3.82486,43.62382
224,237917,53,700.53887266,140.053826527,3.88634,43.62286
225,238994,52,100.076307435,40.0152585793,3.84226,43.62311
226,240297,57,100.07681904,40.01536086,3.82627,43.62305
227,240463,54,100.076781,40.015353255,3.86641,43.62251
228,241413,55,100.07778136,40.0155532492,3.87111,43.62227
229,241539,58,300.2302823,80.0306989243,3.89742,43.62197
230,241905,52,300.23032782,80.0309034693,3.87908,43.6221
231,242090,53,200.154142065,60.0231428108,3.81895,43.62283
232,242448,57,100.07674309,40.0153456759,3.91608,43.62147
233,243246,50,100.07677341,40.0153517376,3.88275,43.62175
234,243442,53,200.154142065,60.0231428108,3.82006,43.62254
235,245457,52,900.693590685,200.077073102,3.86336,43.6218
236,247629,51,100.07681903,40.015360861,3.81769,43.62172
237,247766,57,100.07729258,40.0154555307,3.85646,43.62121
238,248416,59,100.07675824,40.0153487047,3.89771,43.62056
239,250382,51,100.07682666,40.0153623835,3.81569,43.62121
240,250535,55,200.15458515,60.0231321592,3.85899,43.62063
241,250611,59,200.154050795,60.0230268466,3.87633,43.6204
242,251158,59,600.46257289,120.046250655,3.892,43.62017
243,251470,58,100.07729258,40.0154555307,3.8583,43.62046
244,251921,56,200.153584795,60.0231321592,3.85836,43.62037
245,253058,52,100.07723948,40.0154449168,3.92184,43.61932
246,253758,57,100.07729258,40.0154555307,3.85916,43.62
247,253873,51,100.07726979,40.0154509765,3.88331,43.61967
248,254077,50,100.07782702,40.0155623777,3.7987,43.62071
249,255398,54,100.07576547,40.0151502259,3.88962,43.61932
250,255911,65,100.07776618,40.0155502144,3.89037,43.61922
251,255948,54,100.07675824,40.0153487047,3.89867,43.6191
252,257259,50,100.077277385,40.0154524929,3.87797,43.61912
253,258442,63,100.07681142,40.0153593366,3.83213,43.61946
254,258856,55,300.234015565,80.0312300908,3.79736,43.61988
255,259537,50,100.07778136,40.0155532492,3.87016,43.61877
256,260286,61,400.309250205,100.038697572,3.83113,43.61916
257,261283,55,100.077307795,40.0154585725,3.83905,43.61883
258,261792,58,100.078300545,40.0156570453,3.84636,43.61864
259,261879,53,200.15457376,60.0232313959,3.86389,43.61841
260,262099,52,300.23072945,80.0307905912,3.91903,43.61771
261,262851,51,100.077277385,40.0154524929,3.87386,43.61809
262,263941,50,100.07776618,40.0155502144,3.89119,43.61768
263,265090,56,100.07732303,40.0154616184,3.81897,43.61837
264,265242,52,100.07779656,40.015556288,3.85501,43.6179
