wkt_geom;id;left;top;right;bottom;NUMPOINTS
Polygon ((18.7199657743916319 57.18711480807085934, 18.80656831477007529 57.33711480807085792, 18.97977339552696208 57.33711480807085792, 19.06637593590540547 57.18711480807085934, 18.97977339552696208 57.03711480807085366, 18.80656831477007529 57.03711480807085366, 18.7199657743916319 57.18711480807085934));40;18.719965774391632;57.33711480807086;19.066375935905405;57.037114808070854;2
Polygon ((18.97977339552696208 57.93711480807085934, 19.06637593590540547 58.08711480807085792, 19.23958101666229226 58.08711480807085792, 19.32618355704073565 57.93711480807085934, 19.23958101666229226 57.78711480807085366, 19.06637593590540547 57.78711480807085366, 18.97977339552696208 57.93711480807085934));43;18.979773395526962;58.08711480807086;19.326183557040736;57.787114808070854;2
Polygon ((18.7199657743916319 56.58711480807085792, 18.80656831477007529 56.7371148080708565, 18.97977339552696208 56.7371148080708565, 19.06637593590540547 56.58711480807085792, 18.97977339552696208 56.43711480807085934, 18.80656831477007529 56.43711480807085934, 18.7199657743916319 56.58711480807085792));42;18.719965774391632;56.73711480807086;19.066375935905405;56.43711480807086;0
Polygon ((18.97977339552696208 57.33711480807085792, 19.06637593590540547 57.4871148080708565, 19.23958101666229226 57.4871148080708565, 19.32618355704073565 57.33711480807085792, 19.23958101666229226 57.18711480807085934, 19.06637593590540547 57.18711480807085934, 18.97977339552696208 57.33711480807085792));45;18.979773395526962;57.48711480807086;19.326183557040736;57.18711480807086;2
Polygon ((18.97977339552696208 57.63711480807085508, 19.06637593590540547 57.78711480807085366, 19.23958101666229226 57.78711480807085366, 19.32618355704073565 57.63711480807085508, 19.23958101666229226 57.4871148080708565, 19.06637593590540547 57.4871148080708565, 18.97977339552696208 57.63711480807085508));44;18.979773395526962;57.787114808070854;19.326183557040736;57.48711480807086;4
Polygon ((18.97977339552696208 56.7371148080708565, 19.06637593590540547 56.88711480807085508, 19.23958101666229226 56.88711480807085508, 19.32618355704073565 56.7371148080708565, 19.23958101666229226 56.58711480807085792, 19.06637593590540547 56.58711480807085792, 18.97977339552696208 56.7371148080708565));47;18.979773395526962;56.887114808070855;19.326183557040736;56.58711480807086;1
Polygon ((18.97977339552696208 57.03711480807085366, 19.06637593590540547 57.18711480807085934, 19.23958101666229226 57.18711480807085934, 19.32618355704073565 57.03711480807085366, 19.23958101666229226 56.88711480807085508, 19.06637593590540547 56.88711480807085508, 18.97977339552696208 57.03711480807085366));46;18.979773395526962;57.18711480807086;19.326183557040736;56.887114808070855;3
Polygon ((18.46015815325629816 57.33711480807085792, 18.54676069363474156 57.4871148080708565, 18.71996577439162834 57.4871148080708565, 18.80656831477007174 57.33711480807085792, 18.71996577439162834 57.18711480807085934, 18.54676069363474156 57.18711480807085934, 18.46015815325629816 57.33711480807085792));33;18.460158153256298;57.48711480807086;18.80656831477007;57.18711480807086;3
Polygon ((18.46015815325629816 57.63711480807085508, 18.54676069363474156 57.78711480807085366, 18.71996577439162834 57.78711480807085366, 18.80656831477007174 57.63711480807085508, 18.71996577439162834 57.4871148080708565, 18.54676069363474156 57.4871148080708565, 18.46015815325629816 57.63711480807085508));32;18.460158153256298;57.787114808070854;18.80656831477007;57.48711480807086;3
Polygon ((18.46015815325629816 56.7371148080708565, 18.54676069363474156 56.88711480807085508, 18.71996577439162834 56.88711480807085508, 18.80656831477007174 56.7371148080708565, 18.71996577439162834 56.58711480807085792, 18.54676069363474156 56.58711480807085792, 18.46015815325629816 56.7371148080708565));35;18.460158153256298;56.887114808070855;18.80656831477007;56.58711480807086;2
